@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3}

@data
861,'2019/01/28 16:07:50:529',8,97.291779,0.000028,82.237831,0.000183,44.547596,3.559406,0,0.010443,0.092649,0.437103,0.044879,0.000278,0.628371,0.081893,0.093175,0.070482,0.124479,0.000022,0.004441,0,0.000254,0.198807,0.42478,87.138336,0.000124,0.003046,10.62407,-13.597435,4.092896,8.117001,5.462221,190.479294,1
862,'2019/01/28 16:07:50:609',8,97.484276,0.000021,90.367195,0.000176,58.157604,2.692307,0,0.004997,0.047594,0.432308,0.039704,0.000215,1.256836,0.098227,0.101116,0.059491,0.115483,0.000081,0.00535,0,0.000271,0.203316,0.424985,96.970634,0.000095,0.002453,15.122612,-17.851227,3.714341,8.721239,4.692679,188.487274,1
863,'2019/01/28 16:07:50:689',8,97.347687,0.000005,99.439644,0.000032,61.040695,0.699098,99.999985,0.007923,0.01426,0.55261,0.007653,0.00024,0.38597,0.133883,0.103514,0.077783,0.119771,0.000238,0.001144,0,0.00018,0.19731,0.424625,98.6875,0.000071,0.001979,21.888069,-18.454742,3.985723,5.022719,3.073059,206.339035,1
864,'2019/01/28 16:07:50:822',8,96.315056,0.000009,99.935951,0.00002,69.430206,0.323563,0.156572,0.005909,0.004054,0.71007,0.009684,0.000193,0.16509,0.131696,0.073817,0.053185,0.193491,0.001561,0.001229,0,0.000238,0.205206,0.425945,99.299934,0.00007,0.001957,22.36755,-20.895439,5.68316,7.397372,4.290833,197.159012,1
865,'2019/01/28 16:07:50:921',8,94.74765,0.000044,99.984756,0.000032,83.475105,0.419886,0.000023,0.004638,0.002455,0.891373,0.013379,0.000162,0.108585,0.137187,0.079519,0.073772,0.159057,0.003782,0.001786,0,0.000397,0.238019,0.425211,99.743042,0.00007,0.001957,22.382151,-25.09819,7.537294,7.52265,2.798126,190.0495,1
866,'2019/01/28 16:07:51:018',8,93.052849,0.000073,99.997475,0.000047,94.452789,0.529555,0,0.011896,0.001829,1.448356,0.014308,0.000206,0.317131,0.216909,0.06566,0.222501,0.169181,0.003773,0.002433,0,0.000596,0.452835,0.421168,99.882629,0.00007,0.001944,22.40077,-28.497879,9.025822,8.097131,2.862884,189.178986,1
867,'2019/01/28 16:07:51:114',8,91.059135,0.000131,99.999146,0.000036,94.993454,0.595582,0,0.034003,0.002356,2.387859,0.015127,0.000296,0.644577,0.412455,0.050085,0.409724,0.202017,0.00209,0.002145,0,0.000611,0.556229,0.416228,99.887093,0.00007,0.001926,22.42812,-28.814163,10.395617,7.626824,4.748609,189.164871,1
868,'2019/01/28 16:07:51:193',8,85.191277,0.000654,99.998138,0.000468,96.97039,2.21947,0.000015,0.018921,0.012713,3.370769,0.115344,0.000408,0.995152,0.550757,0.034803,0.537421,0.248401,0.001985,0.014815,0.000001,0.00066,7.465219,0.412786,99.901939,0.00007,0.001907,22.468447,-29.541176,13.251586,7.349324,7.527492,186.468552,1
869,'2019/01/28 16:07:51:319',8,65.200317,0.000516,99.998001,0.000431,96.789574,6.194226,0,0.047753,0.027455,4.260161,0.041216,0.001126,2.602331,1.137506,0.03128,1.048848,0.278753,0.000695,0.006482,0.000001,0.000674,2.09694,0.399615,99.900665,0.00007,0.001842,22.499994,-30.135101,18.86072,8.850856,9.610301,187.884216,1
870,'2019/01/28 16:07:51:422',8,43.92334,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,23.221369,11.421263,7.377867,186.15065,1
871,'2019/01/28 16:07:51:517',8,29.770199,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,26.291325,15.850225,5.484162,183.255829,1
872,'2019/01/28 16:07:51:616',8,14.725441,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,30.781498,18.752613,3.937675,171.865646,1
873,'2019/01/28 16:07:51:713',8,4.51519,0.000683,99.998405,0.000486,97.925575,22.706404,0,0.107766,0.157706,5.365364,0.0153,0.004799,6.090952,2.739069,0.024992,4.333958,0.273299,0.000347,0.002248,0.000002,0.000742,1.619514,0.322588,99.908401,0.00007,0.001661,22.564098,-32.553757,37.257599,16.625626,5.331221,164.703491,1
